               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  90,            0.078006,             0.53637,            0.014886,            0.013309,             0.33889,            0.014592,           0.0023583,            0.095627,             0.30006,            0.027661,            0.010981,            0.000981,            0.000981
                  91,            0.082606,             0.71141,            0.014584,           0.0022222,            0.022222,           0.0011786,          0.00029034,            0.095234,             0.30024,            0.027612,           0.0099018,          0.00090181,          0.00090181
                  92,            0.079914,             0.54169,            0.012152,           0.0022222,            0.022222,           0.0011786,          0.00029034,            0.095234,             0.30024,            0.027612,           0.0088206,          0.00082064,          0.00082064
                  93,            0.084185,             0.80954,            0.014533,           0.0022222,            0.022222,           0.0011786,          0.00029034,            0.095234,             0.30024,            0.027612,           0.0077375,          0.00073749,          0.00073749
                  94,            0.089384,             0.93057,            0.016016,           0.0022222,            0.022222,           0.0011786,          0.00029034,            0.095234,             0.30024,            0.027612,           0.0066524,          0.00065236,          0.00065236
                  95,            0.085751,             0.71607,            0.014279,           0.0025907,            0.022222,           0.0013735,          0.00047828,            0.096674,             0.29794,            0.027155,           0.0055653,          0.00056525,          0.00056525
                  96,            0.087606,             0.83093,            0.015944,           0.0025907,            0.022222,           0.0013735,          0.00047828,            0.096674,             0.29794,            0.027155,           0.0044762,          0.00047616,          0.00047616
                  97,            0.074386,              0.4935,            0.011089,           0.0025907,            0.022222,           0.0013735,          0.00047828,            0.096674,             0.29794,            0.027155,           0.0033851,          0.00038509,          0.00038509
                  98,            0.081716,              0.6559,             0.01467,           0.0025907,            0.022222,           0.0013735,          0.00047828,            0.096674,             0.29794,            0.027155,            0.002292,          0.00029204,          0.00029204
                  99,            0.078354,             0.69639,            0.014291,               0.008,            0.066667,           0.0045598,           0.0018553,            0.097629,             0.29739,             0.02699,            0.001197,          0.00019701,          0.00019701
